ticker,period,Ativo circulante,Ativo total,Passivo circulante,Passivo não circulante,Passivo total,Patrimônio líquido,EBIT,Lucro bruto,Lucro líquido,Receita líquida,Resultado financeiro,Resultado operacional
ABEV3,4T2022,"37,82 B","137,96 B","40,54 B","14,09 B","137,96 B","83,33 B","5,41 B","11,71 B","5,08 B","22,69 B","-1,08 B",--
ABEV3,4T2023,"36,56 B","132,64 B","41,00 B","11,50 B","132,64 B","80,14 B","5,43 B","10,69 B","4,53 B","19,99 B","-700,51 M",--
ABEV3,4T2024,"54,16 B","162,51 B","49,39 B","13,54 B","162,51 B","99,58 B","7,53 B","14,51 B","5,02 B","27,04 B","-614,56 M",--
ABEV3,4T2025,"43,88 B","145,09 B","45,60 B","10,71 B","145,09 B","88,77 B","7,02 B","13,06 B","4,53 B","24,81 B","-1,09 B",--
AERI3,1T2020,"576,95 M","1,06 B","498,73 M","369,25 M","1,06 B","191,55 M","29,00 M","32,38 M","16,61 M","288,92 M","-9,31 M",--
AERI3,1T2021,"1,90 B","2,78 B","714,32 M","1,07 B","2,78 B","989,87 M","49,58 M","67,25 M","23,04 M","675,76 M","-22,57 M",--
AERI3,1T2022,"1,98 B","3,11 B","745,63 M","1,36 B","3,11 B","995,26 M","38,98 M","40,45 M","1,25 M","536,76 M","-35,21 M",--
AERI3,1T2023,"2,09 B","3,29 B","1,08 B","1,34 B","3,29 B","862,60 M","124,96 M","152,99 M","15,73 M","652,01 M","-104,95 M",--
AERI3,1T2024,"2,18 B","3,47 B","1,33 B","1,05 B","3,47 B","1,10 B","14,61 M","45,18 M","-41,25 M","515,45 M","-60,65 M",--
AERI3,1T2025,"819,00 M","2,11 B","827,81 M","1,17 B","2,11 B","111,01 M","-19,75 M","24,99 M","-91,47 M","210,37 M","-73,53 M",--
AERI3,1T2026,"407,62 M","1,52 B","588,82 M","1,76 B","1,52 B","-836,46 M","-46,08 M","-9,57 M","-138,00 M","105,61 M","-90,66 M",--
AERI3,2T2020,"820,05 M","1,32 B","688,19 M","519,34 M","1,32 B","114,54 M","47,68 M","59,18 M","24,52 M","464,03 M","-19,10 M",--
AERI3,2T2021,"1,51 B","2,46 B","554,80 M","896,62 M","2,46 B","1,01 B","40,71 M","62,79 M","18,72 M","591,97 M","-22,37 M",--
AERI3,2T2022,"2,20 B","3,34 B","880,43 M","1,50 B","3,34 B","967,39 M","51,40 M","80,37 M","-28,62 M","651,73 M","-87,38 M",--
AERI3,2T2023,"1,95 B","3,18 B","1,19 B","1,14 B","3,18 B","843,22 M","86,08 M","116,06 M","-9,35 M","821,08 M","-99,39 M",--
AERI3,2T2024,"2,37 B","3,65 B","1,53 B","1,03 B","3,65 B","1,09 B","43,51 M","73,95 M","-3,09 M","422,23 M","-48,78 M",--
AERI3,2T2025,"750,57 M","2,04 B","531,01 M","1,58 B","2,04 B","-63,53 M","-84,89 M","-3,45 M","-174,02 M","242,11 M","-89,33 M",--
AERI3,3T2020,"1,07 B","1,65 B","842,16 M","635,76 M","1,65 B","172,28 M","83,93 M","91,46 M","56,45 M","705,82 M","-17,43 M",--
AERI3,3T2021,"1,94 B","2,97 B","569,99 M","1,38 B","2,97 B","1,02 B","51,84 M","70,73 M","9,31 M","629,37 M","-40,72 M",--
AERI3,3T2022,"2,29 B","3,46 B","1,04 B","1,48 B","3,46 B","942,09 M","48,53 M","72,43 M","-25,91 M","625,62 M","-78,73 M",--
